"time","db_level"
"1747177475.4486182","46"
"1747177475.949137","45"
"1747177476.449665","45"
"1747177476.9502213","45"
"1747177477.4507308","46"
"1747177477.9512675","45"
"1747177478.451774","47"
"1747177478.9523077","63"
"1747177479.4528148","62"
"1747177479.953354","66"
"1747177480.453867","64"
"1747177480.9543774","66"
"1747177481.4548872","64"
"1747177481.9554005","65"
"1747177482.4558997","63"
"1747177482.9564242","64"
"1747177483.456926","63"
"1747177483.95744","62"
"1747177484.4579403","58"
"1747177484.9584424","54"
"1747177485.458943","52"
"1747177485.9594526","57"
"1747177486.4599624","58"
"1747177486.960457","57"
"1747177487.460954","56"
"1747177487.9614415","55"
"1747177488.4619424","54"
"1747177488.9624405","55"
"1747177489.4629407","52"
"1747177489.9634204","49"
"1747177490.4639156","47"
"1747177490.9644172","46"
"1747177491.464915","45"
"1747177491.9653847","45"
"1747177492.465877","46"
"1747177492.9663534","47"
"1747177493.466847","47"
"1747177493.9673154","47"
"1747177494.4678147","54"
"1747177494.9682906","61"
"1747177495.4687896","64"
"1747177495.9692848","66"
"1747177496.4697907","70"
"1747177496.970256","68"
"1747177497.470749","69"
"1747177497.9712093","68"
"1747177498.4717","68"
"1747177498.972195","68"
"1747177499.4726856","69"
"1747177499.9731438","67"
"1747177500.4736557","68"
"1747177500.9741564","67"
"1747177501.474664","70"
"1747177501.9751256","70"
"1747177502.4756143","69"
"1747177502.976073","70"
"1747177503.4765596","69"
"1747177503.9770226","72"
"1747177504.477509","70"
"1747177504.9779727","70"
"1747177505.478459","70"
"1747177505.9789505","70"
"1747177506.479461","70"
"1747177506.9799433","70"
"1747177507.4804285","70"
"1747177507.9809024","72"
"1747177508.481386","70"
"1747177508.9818656","71"
"1747177509.4823496","69"
"1747177509.982831","66"
"1747177510.4833136","64"
"1747177510.9837966","61"
"1747177511.484283","59"
"1747177511.9847677","56"
"1747177512.485267","58"
"1747177512.9857748","59"
"1747177513.4862602","61"
"1747177513.9867597","62"
"1747177514.4872432","61"
"1747177514.9877422","59"
"1747177515.488224","59"
"1747177515.9887316","60"
"1747177516.4892282","59"
"1747177516.9897425","62"
"1747177517.490223","59"
"1747177517.9907286","62"
"1747177518.4912262","61"
"1747177518.991742","64"
"1747177519.4922233","61"
"1747177519.9927273","63"
"1747177520.493205","61"
"1747177520.9936855","63"
"1747177521.4941697","61"
"1747177521.9946637","61"
"1747177522.4951506","61"
"1747177522.9956405","62"
"1747177523.4961166","62"
"1747177523.996625","58"
"1747177524.4971156","61"
"1747177524.997628","61"
"1747177525.4981053","61"
"1747177525.9985902","59"
"1747177526.4990764","60"
"1747177526.9995754","58"
"1747177527.50007","61"
"1747177528.0005798","59"
"1747177529.820936","61"
"1747177530.321472","60"
"1747177530.8220315","61"
"1747177531.3225553","60"
"1747177531.8230674","61"
"1747177532.323571","58"
"1747177532.8240898","60"
"1747177533.324599","58"
"1747177533.8250763","64"
"1747177534.3255918","64"
"1747177534.826055","61"
"1747177535.3265646","61"
"1747177535.82704","61"
"1747177536.3275526","59"
"1747177536.8280742","60"
"1747177537.3285842","57"
"1747177537.8290834","57"
"1747177538.3295934","62"
"1747177538.830093","59"
"1747177539.330601","63"
"1747177539.8311007","60"
"1747177540.331607","63"
"1747177540.8321047","61"
"1747177541.3326116","65"
"1747177541.8331175","66"
"1747177542.333625","65"
"1747177542.834095","64"
"1747177543.33461","62"
"1747177543.8350792","63"
"1747177544.335587","63"
"1747177544.836048","64"
"1747177545.336554","65"
"1747177545.837033","65"
"1747177546.337538","63"
"1747177546.8380263","63"
"1747177547.3385315","62"
"1747177547.839008","64"
"1747177548.339517","63"
"1747177548.8400164","64"
"1747177549.3405263","64"
"1747177549.841015","64"
"1747177550.341525","63"
"1747177550.8420186","62"
"1747177551.342523","60"
"1747177551.8430288","61"
"1747177552.343519","61"
"1747177552.8440328","62"
"1747177553.3445444","63"
"1747177553.845056","62"
"1747177554.345564","63"
"1747177554.846081","60"
"1747177555.3465996","56"
"1747177555.847132","61"
"1747177556.347643","60"
"1747177556.848142","57"
"1747177557.348633","53"
"1747177557.8491356","50"
"1747177558.349656","47"
"1747177558.8501675","46"
"1747177559.3506706","45"
"1747177559.8511696","45"
"1747177560.3516624","45"
"1747177560.852187","45"
"1747177561.3527007","45"
"1747177561.8532372","45"
"1747177562.3537438","45"
"1747177562.8542469","45"
"1747177563.3547492","45"
"1747177563.85526","45"
